,Company Name,Job Title,location,Job URL,Date
16,qurv,Computer Vision Intern,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/computer-vision-intern-at-qurv-3938663167?position=17&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=xT9w3jUQV17uuWQL0S42qw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-03
17,Allianz Technology,Prácticas Profesionales - Data Analyst - ALLIANZ TECH - IBEROLATAM,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/pr%C3%A1cticas-profesionales-data-analyst-allianz-tech-iberolatam-at-allianz-technology-3901104411?position=18&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=DOIn65MFh5XWLZi7C0yj8w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-16
18,Boston Consulting Group (BCG),"Data Scientist, Internship, Spain - BCG X","Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-scientist-internship-spain-bcg-x-at-boston-consulting-group-bcg-3936918886?position=19&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=Cr1QddEyby0P0hhvaBah7Q%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-28
19,Fundación Universidad-Empresa,Prácticas Datos Barcelona,Greater Barcelona Metropolitan Area,https://es.linkedin.com/jobs/view/pr%C3%A1cticas-datos-barcelona-at-fundaci%C3%B3n-universidad-empresa-3943444557?position=20&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=7lCU5muAly0TjkRZtyVdSQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06
20,LLYC,Jóvenes Talentos Analítica de Datos & BI,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/j%C3%B3venes-talentos-anal%C3%ADtica-de-datos-bi-at-llyc-3935081685?position=21&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=daGnDN9e%2Fr83T4oBbQtuqw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-31
21,Boston Consulting Group (BCG),"Data Scientist, Internship, Spain - BCG X","Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/data-scientist-internship-spain-bcg-x-at-boston-consulting-group-bcg-3936920760?position=22&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=3T07LToeomD4HGIN0bqamg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-28
22,Incubeta,Digital Analytics Trainee,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/digital-analytics-trainee-at-incubeta-3801853801?position=23&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=xN%2FVW%2FvFNRZgcBIOFAuAIQ%3D%3D&trk=public_jobs_jserp-result_search-card,2023-12-22
23,Revlon,Intern - Marketing & Trade,Greater Barcelona Metropolitan Area,https://es.linkedin.com/jobs/view/intern-marketing-trade-at-revlon-3934403173?position=24&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=RPcEQd6WDj8k6FJnL3uFEQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-30
24,Urban Science,SQL-GIS Data Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/sql-gis-data-intern-at-urban-science-3924594496?position=25&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=BxU3tAjgIkHT5cd%2BT25hWQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-13
25,dsm-firmenich,RA Data Analytics Trainee,Greater Barcelona Metropolitan Area,https://es.linkedin.com/jobs/view/ra-data-analytics-trainee-at-dsm-firmenich-3931134714?position=26&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=Db6BvKMFj6Tc0YOKvXaYlQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-22
26,"Mattel, Inc.",Financial Analyst Intern EMEA,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/financial-analyst-intern-emea-at-mattel-inc-3910064450?position=27&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=ss%2BVpy9NfqtotIbjVPl89w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-26
27,Accor,Corporate Social Responsibility Intern,Greater Madrid Metropolitan Area,https://es.linkedin.com/jobs/view/corporate-social-responsibility-intern-at-accor-3941117742?position=28&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=xGiEWtfGy5iBFCWy%2BzpDNQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-03
28,NTT DATA Europe & Latam,Business Consulting Internship - Barcelona,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/business-consulting-internship-barcelona-at-ntt-data-europe-latam-3932138553?position=29&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=8oZWqQwYX7No%2B3W6isJaPA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-23
29,bsport,Data Entry Specialist - Internship,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-entry-specialist-internship-at-bsport-3943436516?position=30&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=h6jBD0viH0Ft4RtHHSblYw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06
30,EUDE Business School,PROCESO DE SELECCIÓN CERRADO. Beca para data analyst,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/proceso-de-selecci%C3%B3n-cerrado-beca-para-data-analyst-at-eude-business-school-3940375101?position=31&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=JncswEM1rNu355e1JyElHQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06
31,myGwork - LGBTQ+ Business Community,Data Analyst Intern - Business Performance Analytics,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-analyst-intern-business-performance-analytics-at-mygwork-lgbtq%2B-business-community-3891216478?position=32&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=EUKZUpZsOh7IXnxkXBw7IA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-11
